Naber,Status,WarningValue,AlarmValue,AvgValue,StdValue,Count,Alert
202578,z05-03-04,0.108,0.324,0.05113585665822029,0.005909678125208635,7,0
202578,z05-04-04,0.005,0.015,0.0016881428808639093,0.001405858431092882,7,0
202578,z05-07-04,0.102,0.306,0.07270328594105584,0.003078682154887407,7,0
202578,z05-08-04,0.014,0.042,0.003573999973013997,0.0014953118860654478,7,0
202578,z05-11-04,0.132,0.396,0.05802642820136888,0.00816892384873475,7,0
202578,z05-12-04,0.005,0.015,0.0019198571514737392,0.0010828273492041638,7,0
202624,z05-03-04,0.108,0.324,0.07238845527172089,0.008130643803326992,11,0
202624,z05-04-04,0.005,0.015,0.0039293636271560736,0.0018472785346951275,11,0
202624,z05-07-04,0.102,0.306,0.0836068175055764,0.010787604605323445,11,0
202624,z05-08-04,0.014,0.042,0.0030770909612659702,0.001515266619025228,11,0
202624,z05-11-04,0.132,0.396,0.11500927467237819,0.12849768295738273,11,0
202624,z05-12-04,0.005,0.015,0.027156090176008132,0.07397552018781871,11,2
202625,z05-03-04,0.108,0.324,0.057042570518595834,0.008563063004906354,7,0
202625,z05-04-04,0.005,0.015,0.0020518571587412487,0.0009056709411554936,7,0
202625,z05-07-04,0.102,0.306,0.09054500077451978,0.01912348017563265,7,0
202625,z05-08-04,0.014,0.042,0.003837428637780249,0.001705947303788882,7,0
202625,z05-11-04,0.132,0.396,0.1190475704414504,0.03202199690701794,7,0
202625,z05-12-04,0.005,0.015,0.004825142910704017,0.0030214178445761666,7,0
202703,z05-03-04,0.108,0.324,0.06992000075323242,0.020835754435069128,7,0
202703,z05-04-04,0.005,0.015,0.00418771430850029,0.0047972954320636045,7,0
202703,z05-07-04,0.102,0.306,0.08227099903992244,0.013042185658664123,7,0
202703,z05-08-04,0.014,0.042,0.003227571416313627,0.002991662331377449,7,0
202703,z05-11-04,0.132,0.396,0.12836900034121104,0.05343840056311432,7,0
202703,z05-12-04,0.005,0.015,0.008726857319873358,0.010790497573016554,7,1
202704,z05-03-04,0.108,0.324,0.06963333301246166,0.008516667481683199,6,0
202704,z05-04-04,0.005,0.015,0.0036686666620274386,0.0019138278836713495,6,0
202704,z05-07-04,0.102,0.306,0.09563933188716571,0.019194243843915774,6,0
202704,z05-08-04,0.014,0.042,0.007217333380443354,0.0065478281613815525,6,0
202704,z05-11-04,0.132,0.396,0.08342766637603442,0.006226617811209951,6,0
202704,z05-12-04,0.005,0.015,0.002224666726154586,0.0021473826353512093,6,0
202710,z05-03-04,0.108,0.324,0.08847100287675858,0.0,1,0
202710,z05-04-04,0.005,0.015,0.0008520000264979899,0.0,1,0
202710,z05-07-04,0.102,0.306,0.10867500305175781,0.0,1,1
202710,z05-08-04,0.014,0.042,0.003650000086054206,0.0,1,0
202710,z05-11-04,0.132,0.396,0.16202600300312042,0.0,1,1
202710,z05-12-04,0.005,0.015,0.01218200009316206,0.0,1,1
202940,z05-03-04,0.108,0.324,0.05858760066330433,0.008789048080970023,10,0
202940,z05-04-04,0.005,0.015,0.0020962000242434444,0.0014349045882911424,10,0
